body_site	days	p	c	o	f	g	s	VaginaASV	seeding.effectiveness.scale	feature.frequency	P.VD	P.CSR	P.CS
Forearm	30	p_Bacteroidetes	c_Bacteroidia	o_Bacteroidales	f_Bacteroidaceae	g_Bacteroides	s_fragilis	TRUE	0.934	0.191	0.334	0.582	0.085
Forearm	30	p_Bacteroidetes	c_Flavobacteriia	o_Flavobacteriales	f_[Weeksellaceae]	g_	s_	FALSE	0.881	0.146	0.348	0.469	0.183
Forearm	30	p_Firmicutes	c_Bacilli	o_Gemellales	f_Gemellaceae	g_	s_	TRUE	0.883	0.876	0.469	0.349	0.183
Forearm	30	p_Firmicutes	c_Bacilli	o_Lactobacillales	f_Aerococcaceae	g_Alloiococcus	s_otitis	FALSE	0.895	0.124	0.143	0.036	0.821
Forearm	30	p_Firmicutes	c_Bacilli	o_Lactobacillales	f_Lactobacillaceae	g_Lactobacillus	s_helveticus	TRUE	0.896	0.506	0.338	0.51	0.152
Forearm	30	p_Firmicutes	c_Clostridia	o_Clostridiales	f_[Tissierellaceae]	g_Anaerococcus	s_	TRUE	0.965	0.494	0.46	0.41	0.13
Forearm	30	p_Firmicutes	c_Clostridia	o_Clostridiales	f_[Tissierellaceae]	g_Anaerococcus	s_	TRUE	0.951	0.213	0.443	0.409	0.149
Forearm	30	p_Proteobacteria	c_Alphaproteobacteria	o_Rhodobacterales	f_Rhodobacteraceae	g_Paracoccus	s_marcusii	FALSE	0.983	0.202	0.481	0.42	0.098
Forearm	30	p_Proteobacteria	c_Betaproteobacteria	o_Burkholderiales	f_Comamonadaceae	-	-	FALSE	0.897	0.112	0.335	0.521	0.144
Forearm	30	p_Proteobacteria	c_Epsilonproteobacteria	o_Campylobacterales	f_Campylobacteraceae	g_Campylobacter	-	FALSE	0.881	0.112	0.107	0.1	0.793
Forearm	30	p_Proteobacteria	c_Gammaproteobacteria	o_Pseudomonadales	f_Moraxellaceae	g_Acinetobacter	-	FALSE	0.935	0.135	0.343	0.549	0.108
Forearm	30	p_Proteobacteria	c_Gammaproteobacteria	o_Pseudomonadales	f_Moraxellaceae	g_Enhydrobacter	s_	TRUE	0.939	0.607	0.371	0.486	0.143
Forearm	120	p_Actinobacteria	c_Actinobacteria	o_Actinomycetales	f_Actinomycetaceae	g_Actinomyces	s_	FALSE	0.876	0.256	0.313	0.575	0.112
Forearm	120	p_Actinobacteria	c_Actinobacteria	o_Actinomycetales	f_Corynebacteriaceae	g_Corynebacterium	-	TRUE	0.977	0.302	0.353	0.591	0.055
Forearm	120	p_Actinobacteria	c_Actinobacteria	o_Actinomycetales	f_Corynebacteriaceae	g_Corynebacterium	s_	TRUE	0.961	0.605	0.395	0.464	0.141
Forearm	120	p_Actinobacteria	c_Actinobacteria	o_Actinomycetales	f_Corynebacteriaceae	g_Corynebacterium	s_	TRUE	0.898	0.605	0.414	0.388	0.199
Forearm	120	p_Actinobacteria	c_Actinobacteria	o_Actinomycetales	f_Microbacteriaceae	g_Yonghaparkia	s_	FALSE	0.955	0.116	0.336	0.599	0.065
