Sampling Sites	Days	Taxonomy	VaginaASV	seeding.effectiveness.scale	feature.frequency	P.VD	P.CSR	P.CS
Mouth	2	Firmicutes.Clostridia.Clostridiales.Veillonellaceae.Veillonella.unknown.asv_5691	FALSE	0.875	0.118	0.435	0.36	0.205
Mouth	2	Firmicutes.Clostridia.Clostridiales.Veillonellaceae.Veillonella.dispar.asv_91	TRUE	0.808	0.434	0.371	0.376	0.254
Mouth	2	Firmicutes.Clostridia.Clostridiales.Veillonellaceae.Veillonella.parvula.asv_17	TRUE	0.813	0.316	0.3	0.563	0.138
Mouth	2	Proteobacteria.Alphaproteobacteria.Sphingomonadales.Sphingomonadaceae.Sphingobium.xenophagum.asv_1165	TRUE	0.813	0.132	0.153	0.09	0.757
Mouth	2	Proteobacteria.Betaproteobacteria.Neisseriales.Neisseriaceae.Neisseria.unknown.asv_207	TRUE	0.843	0.658	0.401	0.367	0.232
Mouth	2	Proteobacteria.Gammaproteobacteria.Enterobacteriales.Enterobacteriaceae.unknown.unknown.asv_23	TRUE	0.931	0.408	0.373	0.465	0.162
Mouth	2	Proteobacteria.Gammaproteobacteria.Pasteurellales.Pasteurellaceae.Actinobacillus.unknown.asv_186	FALSE	0.902	0.184	0.384	0.421	0.195
Mouth	2	Proteobacteria.Gammaproteobacteria.Pasteurellales.Pasteurellaceae.Haemophilus.parainfluenzae.asv_86	TRUE	0.927	0.684	0.442	0.385	0.173
Mouth	2	Proteobacteria.Gammaproteobacteria.Pseudomonadales.Moraxellaceae.Acinetobacter.guillouiae.asv_143	FALSE	0.888	0.171	0.367	0.434	0.199
Mouth	2	Proteobacteria.Gammaproteobacteria.Pseudomonadales.Moraxellaceae.Enhydrobacter.unknown.asv_90	TRUE	0.903	0.237	0.128	0.06	0.811
Mouth	2	Proteobacteria.Gammaproteobacteria.Pseudomonadales.Pseudomonadaceae.Pseudomonas.unknown.asv_3208	FALSE	0.817	0.105	0.369	0.383	0.248
Mouth	30	Actinobacteria.Actinobacteria.Actinomycetales.Actinomycetaceae.Actinomyces.unknown.asv_64	FALSE	0.913	0.152	0.322	0.617	0.061
Mouth	30	Actinobacteria.Actinobacteria.Actinomycetales.Actinomycetaceae.Actinomyces.unknown.asv_423	FALSE	0.831	0.152	0.165	0.037	0.798
Mouth	30	Actinobacteria.Actinobacteria.Actinomycetales.Micrococcaceae.Rothia.mucilaginosa.asv_258	FALSE	0.802	0.543	0.302	0.555	0.143
Mouth	30	Bacteroidetes.Bacteroidia.Bacteroidales.[Paraprevotellaceae].[Prevotella].unknown.asv_678	TRUE	0.964	0.467	0.421	0.459	0.121
Mouth	30	Bacteroidetes.Bacteroidia.Bacteroidales.S24-7.unknown.unknown.asv_31673	FALSE	0.912	0.109	0.343	0.535	0.123
Mouth	30	Firmicutes.Bacilli.Lactobacillales.Lactobacillaceae.Lactobacillus.unknown.asv_2599	TRUE	0.925	0.424	0.371	0.482	0.147
Mouth	30	Firmicutes.Bacilli.Lactobacillales.Lactobacillaceae.Lactobacillus.iners.asv_2259	TRUE	0.82	0.348	0.392	0.371	0.237
Mouth	30	Firmicutes.Bacilli.Lactobacillales.Streptococcaceae.Streptococcus.unknown.asv_25	TRUE	0.828	0.652	0.445	0.341	0.214
Mouth	30	Firmicutes.Clostridia.Clostridiales.Veillonellaceae.Veillonella.unknown.asv_82	TRUE	0.803	0.728	0.45	0.329	0.221
Mouth	30	Firmicutes.Clostridia.Clostridiales.Veillonellaceae.Veillonella.parvula.asv_708	FALSE	0.919	0.207	0.123	0.036	0.841
Mouth	30	Proteobacteria.Gammaproteobacteria.Pasteurellales.Pasteurellaceae.Haemophilus.unknown.asv_665	TRUE	0.964	0.62	0.37	0.547	0.083
Mouth	30	Proteobacteria.Gammaproteobacteria.Pseudomonadales.Moraxellaceae.Moraxella.lincolnii.asv_3019	FALSE	0.965	0.13	0.396	0.495	0.109
Mouth	30	Verrucomicrobia.Verrucomicrobiae.Verrucomicrobiales.Verrucomicrobiaceae.Akkermansia.muciniphila.asv_734	FALSE	0.95	0.109	0.435	0.426	0.139
Mouth	120	Bacteroidetes.Bacteroidia.Bacteroidales.Prevotellaceae.Prevotella.melaninogenica.asv_260	TRUE	0.871	0.617	0.342	0.472	0.186
Mouth	120	Bacteroidetes.Bacteroidia.Bacteroidales.S24-7.unknown.unknown.asv_31673	FALSE	0.952	0.149	0.334	0.603	0.063
Mouth	120	Firmicutes.Bacilli.Lactobacillales.Aerococcaceae.Alloiococcus.unknown.asv_283	FALSE	0.945	0.362	0.367	0.495	0.139
