	formula	min_features	batch_size	differential_prior	CV	baseline_CV	q_squared	body_site	days	model	best
168	"C(birth_mode_ms, Treatment(""Vag"")) + country"	3	15	0.25	392.12969970703125	447.22316589355466	0.12319009923478885	Baby-Feces	2.0	TP-model-w-country	
169	"C(birth_mode_ms, Treatment(""Vag"")) + country"	3	15	0.5	392.12926330566404	447.22315368652346	0.123191051104382	Baby-Feces	2.0	TP-model-w-country	
170	"C(birth_mode_ms, Treatment(""Vag"")) + country"	3	31	0.25	449.3726104736328	459.3265777587891	0.021670784507452412	Baby-Feces	2.0	TP-model-w-country	
171	"C(birth_mode_ms, Treatment(""Vag"")) + country"	3	31	0.5	449.3699981689453	459.32651672363284	0.02167634175729105	Baby-Feces	2.0	TP-model-w-country	
172	"C(birth_mode_ms, Treatment(""Vag"")) + country"	3	7	0.25	366.9752258300781	401.61130676269534	0.08624279334118212	Baby-Feces	2.0	TP-model-w-country	Yes
173	"C(birth_mode_ms, Treatment(""Vag"")) + country"	3	7	0.5	366.97779846191406	401.6113616943359	0.08623651254861975	Baby-Feces	2.0	TP-model-w-country	
174	"C(birth_mode_ms, Treatment(""Vag"")) + country"	7	15	0.25	773.1130249023438	861.6497314453125	0.10275254933864963	Baby-Feces	2.0	TP-model-w-country	
175	"C(birth_mode_ms, Treatment(""Vag"")) + country"	7	15	0.5	773.1110656738281	861.6498413085938	0.1027549375513157	Baby-Feces	2.0	TP-model-w-country	
176	"C(birth_mode_ms, Treatment(""Vag"")) + country"	7	31	0.25	886.4447631835938	893.4857543945312	0.00788036202738207	Baby-Feces	2.0	TP-model-w-country	
177	"C(birth_mode_ms, Treatment(""Vag"")) + country"	7	31	0.5	886.44228515625	893.4857177734375	0.007883094801716228	Baby-Feces	2.0	TP-model-w-country	
178	"C(birth_mode_ms, Treatment(""Vag"")) + country"	7	7	0.25	707.2088012695312	776.8393310546875	0.08963311588590828	Baby-Feces	2.0	TP-model-w-country	
179	"C(birth_mode_ms, Treatment(""Vag"")) + country"	7	7	0.5	707.213720703125	776.8394958496094	0.08962697638118478	Baby-Feces	2.0	TP-model-w-country	
182	"C(birth_mode_ms, Treatment(""Vag"")) + country"	14	28	0.25	907.719677734375	909.4704467773438	0.0019250422585721516	Baby-Feces	30.0	TP-model-w-country	
183	"C(birth_mode_ms, Treatment(""Vag"")) + country"	14	28	0.5	907.7198425292969	909.4704833984375	0.0019249012486902695	Baby-Feces	30.0	TP-model-w-country	
